contract_id,effective_start_date,effective_end_date,version_id,contract_name,mg_beginning_balance,pp_beginning_balance,mg_original_paid,licensor_name,created_timestamp,created_by,updated_timestamp,updated_by
41,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Touhou Genso Rondo: Bullet Ballet,0,0,0,"Mediascape Co., Ltd.",2023-03-17T18:27:40.000Z,Yosuke Akutsu,2023-03-20T20:37:53.000Z,Yosuke Akutsu
42,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Touhou Genso Wanderer,0,0,0,"Mediascape Co., Ltd.",2023-03-17T18:27:40.000Z,Yosuke Akutsu,2023-03-20T20:37:54.000Z,Yosuke Akutsu
43,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Touhou Genso Wanderer Reloaded,0,0,0,"Mediascape Co., Ltd.",2023-03-17T18:27:40.000Z,Yosuke Akutsu,2023-03-20T20:37:54.000Z,Yosuke Akutsu
137,2023-06-03T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Touhou Genso Wanderer Reloaded Merchandise,0,0,0,"Mediascape Co., Ltd.",2023-06-03T18:55:36.000Z,Nisa Retool,2023-06-03T18:55:36.000Z,Nisa Retool
65,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Legend of Nayuta,583670.38,0,600000,Nihon Falcom Corporation,2023-03-17T18:27:41.000Z,Yosuke Akutsu,2023-03-20T20:38:04.000Z,Yosuke Akutsu
66,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Trails of Cold Steel 3,0,0,1800000,Nihon Falcom Corporation,2023-03-17T18:27:41.000Z,Yosuke Akutsu,2023-03-20T20:38:04.000Z,Yosuke Akutsu
67,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Trails of Cold Steel 4,0,0,1500000,Nihon Falcom Corporation,2023-03-17T18:27:41.000Z,Yosuke Akutsu,2023-03-20T20:38:06.000Z,Yosuke Akutsu
68,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Ys 9,0,0,2000000,Nihon Falcom Corporation,2023-03-17T18:27:42.000Z,Yosuke Akutsu,2023-03-20T20:38:07.000Z,Yosuke Akutsu
69,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Ys 8,0,0,1500000,Nihon Falcom Corporation,2023-03-17T18:27:41.000Z,Yosuke Akutsu,2023-03-20T20:38:09.000Z,Yosuke Akutsu
96,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Trails of Cold Steel 4 - Goods,0,0,0,Nihon Falcom Corporation,2023-03-30T01:54:24.000Z,Yuta Okazaki,2023-03-30T01:54:24.000Z,Yuta Okazaki
