,Item,Game Title,Sales (USD),COGS Expense,Royalty Expense,Capitalized Expense Amount (Debit + Credit),AD Promotion,Profit
254,RTF2-PS4,R-TYPE FINAL 2 PS4,3695.7999999999997,,3109.22,,,586.5799999999999
255,RTF2-STM,R-TYPE FINAL 2 STEAM,1890.52,,7024.89,,,-5134.370000000001
256,RTF2-XB1,R-TYPE FINAL 2 XB1,473.25,,573.7,,,-100.45000000000005
257,RTF3-PS5,R-TYPE FINAL 3 PS5,4708.9,307.96000000000004,8119.43,,,-3718.4900000000007
258,SC12-NSW,SILVER CASE 2425 NSW,1030.3,,1537.82,,,-507.52
259,SHC1-NSW,SHADOW CORRIDOR NSW,55.92,,137.94,,,-82.02
260,SIL1-PS4,THE SILVER CASE,871.46,,329.03999999999996,,,542.4200000000001
261,SIL2-PS4,25TH WARD PS4 PAL,737.45,,433.5,,,303.95000000000005
262,SIL2-STM,25TH WARD STEAM,463.42999999999995,,4184.52,,,-3721.0900000000006
263,SNA1-NSW,SNK 40TH ANNIVERSARY NSW,26239.8,10050.59,5605.32,,,10583.89
264,SNA1-PS4,SNK 40TH ANNIVERSARY PS4,2658.78,,1590.1799999999998,,,1068.6000000000004
265,SNH1-PS4,SNK HEROINES PS4 PAL,2676.15,,8730.9,,,-6054.75
266,SSC1-PSV,STRANGER OF SWORD CITY PSV,13.99,,,,,13.99
267,SSC1-STM,STRANGER OF SWORD CITY STEAM,201.93,,575.0699999999999,,,-373.13999999999993
268,SSW1-MST,SSW /STRANGER OF SWORD CITY MST,0.0,,,,,0.0
269,SSW1-NSW,SAPPHIRE WINGS (SOSW),1425.44,,2803.2400000000002,,,-1377.8000000000002
270,SSW1-STM,SAPPHIRE WINGS (SOSW),835.59,,2762.7599999999998,,,-1927.1699999999996
271,TAA1-NSW,THE ALLIANCE ALIVE NSW,3684.62,,4324.25,,,-639.6300000000001
272,TAA1-PS4,THE ALLIANCE ALIVE PS4,357.37,,1544.27,,,-1186.9
273,TAA1-STM,THE ALLIANCE ALIVE STEAM,220.78,,3108.16,,,-2887.3799999999997
274,TAT1-PSV,TOKYO TATTOO GIRLS PSV PAL,36.730000000000004,,27.98,,,8.750000000000004
275,TAT1-STM,TOKYO TATTOO GIRLS STEAM,4.98,,81.11,,,-76.13
276,TC34-PS5,TRAILS OF COLD STEEL 3+4 PS5,9532.13,362.16,46184.899999999994,,,-37014.92999999999
277,TCK1-NSW,CRUEL KING AND GREAT HERO NSW,1537.84,,,,,1537.84
