,Title,Item,Platform,Division,Sales Units,Sales Amount,Month,Coop_expense,Paid_PP,Material_COGS,Royalty,Marginal Profit,Game Type
3864,03-2022 : Cruel King and Great Hero : Cruel King and Great Hero NSW,TCK1-NSW-EU-VG-ASM-FR,,EU Games,,,,,,,,0.0,
3865,03-2022 : Cruel King and Great Hero : Cruel King and Great Hero NSW,TCK1-NSW-EU-VG-ASM-AU,,EU Games,,,,,,,,0.0,
3866,03-2022 : Cruel King and Great Hero : Cruel King and Great Hero NSW,TCK1-NSW-EU-VG-ASM-IT,,EU Games,,,,,,,,0.0,
3867,03-2022 : Cruel King and Great Hero : Cruel King and Great Hero NSW,TCK1-NSW-EU-VG-ASM-SP,,EU Games,,,,,,,,0.0,
3868,03-2022 : Cruel King and Great Hero : Cruel King and Great Hero NSW,TCK1-NSW-EU-VG-ASM-DE,,EU Games,,,,,,,,0.0,
3869,03-2022 : Cruel King and Great Hero : Cruel King and Great Hero NSW,TCK1-NSW-EU-VG-SE-ASM,,EU Games,,,,,,,,0.0,
3870,03-2023 : Monark : Monark PS4,MON1-PS4-EU-VG-SE-BLX,PS4,EU Games,,,,,,,,0.0,Physical
3871,03-2023 : Monark : Monark PS4,MON1-PS4-EU-VG-SE-UK,PS4,EU Games,,,,,,,,0.0,Physical
3872,03-2023 : Monark : Monark PS4,MON1-PS4-EU-VG-SE-FR,PS4,EU Games,,,,,,,,0.0,Physical
3873,03-2023 : Monark : Monark PS4,MON1-PS4-EU-VG-SE-AU,PS4,EU Games,,,,,,,,0.0,Physical
3874,03-2023 : Monark : Monark PS4,MON1-PS4-EU-VG-SE-IT,PS4,EU Games,,,,,,,,0.0,Physical
3875,03-2023 : Monark : Monark PS4,MON1-PS4-EU-VG-SE-SP,PS4,EU Games,,,,,,,,0.0,Physical
3876,03-2023 : Monark : Monark PS4,MON1-PS4-EU-VG-SE-DE,PS4,EU Games,,,,,,,,0.0,Physical
3877,03-2023 : Monark : Monark PS4,MON1-PS4-EU-VG-SE,PS4,EU Games,,,,,,,,0.0,Physical
