game_title_id,effective_start_date,effective_end_date,version_id,game_title,release_date,contract_name,created_timestamp,created_by,updated_timestamp,updated_by
180,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Etrian Odyssey 2 Untold 3DS PAL,2022-07-01T00:00:00.000Z,Etrian Odyssey 2 Untold,2023-03-17T20:37:59.000Z,Yosuke Akutsu,2023-03-21T01:45:57.000Z,Yuta Okazaki
181,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Legend of Legacy 3DS PAL,2022-07-01T00:00:00.000Z,Legend of Legacy,2023-03-17T20:37:59.000Z,Yosuke Akutsu,2023-03-21T01:45:57.000Z,Yuta Okazaki
182,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Persona 4 Dancing All Night PSV,2022-07-01T00:00:00.000Z,Persona 4 Dancing All Night,2023-03-17T20:38:00.000Z,Yosuke Akutsu,2023-03-21T01:45:57.000Z,Yuta Okazaki
183,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Persona 4 Golden PAL version,2022-07-01T00:00:00.000Z,Persona 4 Golden,2023-03-17T20:38:00.000Z,Yosuke Akutsu,2023-03-21T01:45:57.000Z,Yuta Okazaki
184,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Persona Q PAL,2022-07-01T00:00:00.000Z,Persona Q,2023-03-17T20:38:00.000Z,Yosuke Akutsu,2023-03-21T01:45:57.000Z,Yuta Okazaki
185,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Soul Hackers 3DS for PAL,2022-07-01T00:00:00.000Z,Soul Hackers,2023-03-17T20:38:00.000Z,Yosuke Akutsu,2023-03-21T01:45:57.000Z,Yuta Okazaki
186,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,DevilSurvivor2-RecordBreakr3DS,2022-07-01T00:00:00.000Z,Devil Survivor 2 Record Breaker,2023-03-17T20:38:01.000Z,Yosuke Akutsu,2023-03-21T01:45:57.000Z,Yuta Okazaki
187,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Stella Glow,2022-07-01T00:00:00.000Z,Stella Glow,2023-03-17T20:38:01.000Z,Yosuke Akutsu,2023-03-21T01:45:57.000Z,Yuta Okazaki
188,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Odin Sphere PS3 PAL,2022-07-01T00:00:00.000Z,Odin Sphere,2023-03-17T20:37:57.000Z,Yosuke Akutsu,2023-03-21T01:45:57.000Z,Yuta Okazaki
189,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Odin Sphere PS4 PAL,2022-07-01T00:00:00.000Z,Odin Sphere,2023-03-17T20:37:58.000Z,Yosuke Akutsu,2023-03-21T01:45:57.000Z,Yuta Okazaki
190,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Odin Sphere PSV PAL,2022-07-01T00:00:00.000Z,Odin Sphere,2023-03-17T20:37:58.000Z,Yosuke Akutsu,2023-03-21T01:45:57.000Z,Yuta Okazaki
201,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,03-2018:Touhou Kobuto V-Burst Battle:Touhou Kobuto V NSW,2017-10-10T00:00:00.000Z,Touhou Kobuto V Burst Battle (NSW),2023-03-20T21:23:31.000Z,Yosuke Akutsu,2023-03-21T01:45:57.000Z,Yuta Okazaki
202,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,03-2018:Touhou Kobuto V-Burst Battle:Touhou Kobuto V PS4 PAL,2017-10-10T00:00:00.000Z,Touhou Kobuto V Burst Battle (PS4 &PSV),2023-03-20T21:24:09.000Z,Yosuke Akutsu,2023-03-21T01:45:57.000Z,Yuta Okazaki
215,2022-08-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,03-2018:Touhou Kobuto V-Burst Battle:Touhou Kobuto V PS4,2017-10-10T00:00:00.000Z,Touhou Kobuto V Burst Battle (PS4 &PSV),2023-05-11T00:00:19.000Z,Nisa Retool,2023-05-11T00:00:19.000Z,Nisa Retool
216,2022-08-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,03-2018:Touhou Kobuto V-Burst Battle:Touhou Kobuto V PSV DIGITAL,2017-10-10T00:00:00.000Z,Touhou Kobuto V Burst Battle (PS4 &PSV),2023-05-11T00:00:42.000Z,Nisa Retool,2023-05-11T00:00:42.000Z,Nisa Retool
282,2022-11-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,03-2018:Touhou Kobuto V-Burst Battle:Touhou Kobuto V PSVita PAL,2017-10-10T00:00:00.000Z,Touhou Kobuto V Burst Battle (PS4 &PSV),2023-05-31T17:01:46.000Z,Nisa Retool,2023-05-31T17:01:46.000Z,Nisa Retool
203,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,03-2020:Kemono Heroes:Kemono Heroes Stadia,2020-02-27T00:00:00.000Z,Kemono Heroes (Stadia),2023-03-20T21:25:12.000Z,Yosuke Akutsu,2023-03-21T01:45:57.000Z,Yuta Okazaki
204,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,03-2020:Kemono Heroes:Kemono Heroes NSW,2020-02-27T00:00:00.000Z,Kemono Heroes (NSW),2023-03-20T21:25:57.000Z,Yosuke Akutsu,2023-03-21T01:45:57.000Z,Yuta Okazaki
205,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Steam titles:Stranger of Sword City Steam,2022-07-01T00:00:00.000Z,Stranger of Sword City,2023-03-28T01:49:54.000Z,Yuta Okazaki,2023-03-28T01:49:54.000Z,Yuta Okazaki
225,2022-08-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Stranger of Sword City PSV,2016-04-26T00:00:00.000Z,Stranger of Sword City,2023-05-11T00:12:45.000Z,Nisa Retool,2023-05-11T00:12:45.000Z,Nisa Retool
283,2022-11-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Stranger of Sword City PSV PAL,2016-04-26T00:00:00.000Z,Stranger of Sword City,2023-05-31T17:02:39.000Z,Nisa Retool,2023-05-31T17:02:39.000Z,Nisa Retool
206,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,1,Goods,2022-07-01T00:00:00.000Z,R-Type Final 2 - Soundbox,2023-03-30T02:17:49.000Z,Nisa Retool,2023-06-03T18:03:45.000Z,Nisa Retool
207,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Goods,2022-07-01T00:00:00.000Z,Trails of Cold Steel 4 - Goods,2023-03-30T02:21:33.000Z,Yuta Okazaki,2023-03-30T02:21:33.000Z,Yuta Okazaki
208,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Goods,2022-07-01T00:00:00.000Z,Ys 9 - Goods,2023-03-30T02:22:20.000Z,Yuta Okazaki,2023-03-30T02:22:20.000Z,Yuta Okazaki
209,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,3,Dungeon Travelers 2 PSV PAL,2015-10-16T00:00:00.000Z,Dungeon Travelers 2,2023-03-30T21:31:15.000Z,Nisa Retool,2023-05-25T18:10:21.000Z,Nisa Retool
260,2022-08-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Neptunia:Neptunia 3 PS3,2013-11-26T00:00:00.000Z,Neptunia 3 US,2023-05-17T16:32:45.000Z,Nisa Retool,2023-05-17T16:32:45.000Z,Nisa Retool
214,2022-08-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,TTGH Daybreak Special Gigs PS4,2016-10-21T00:00:00.000Z,TTGH Daybreak Special Gigs,2023-05-10T23:58:36.000Z,Nisa Retool,2023-05-10T23:58:36.000Z,Nisa Retool
